1,netflix.com
2,api-global.netflix.com
3,prod.netflix.com
4,push.prod.netflix.com
5,google.com
6,microsoft.com
7,ichnaea.netflix.com
8,www.google.com
9,ftl.netflix.com
10,prod.ftl.netflix.com
11,nrdp.prod.ftl.netflix.com
12,windowsupdate.com
13,safebrowsing.googleapis.com
14,ctldl.windowsupdate.com
15,data.microsoft.com
16,doubleclick.net
17,secure.netflix.com
18,g.doubleclick.net
19,facebook.com
20,nrdp51-appboot.netflix.com
21,live.com
22,clients4.google.com
23,apple.com
24,settings-win.data.microsoft.com
25,googleads.g.doubleclick.net
26,clientservices.googleapis.com
27,google-analytics.com
28,events.data.microsoft.com
29,www.googleapis.com
30,uiboot.netflix.com
